PO_ID,PO_Line_ID,Supplier_ID,Product_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Ordered_Quantity,Received_Quantity,Planned_Unit_Cost,Actual_Unit_Cost,PO_Status
PO000033,PO000033-L4,S001,P0019,2023-03-03,2023-03-23,2023-03-24,232,232,1367.0,1380.64,Completed
PO000033,PO000033-L5,S001,P0108,2023-03-03,2023-03-23,2023-03-24,1261,1075,366.81,356.53,Completed
PO000033,PO000033-L6,S001,P0029,2023-03-03,2023-03-23,2023-03-24,709,557,2104.21,2426.76,Completed
PO000033,PO000033-L7,S001,P0080,2023-03-03,2023-03-23,2023-03-24,879,923,8930.62,9271.23,Completed
PO000034,PO000034-L1,S001,P0014,2023-03-05,2023-03-25,2023-03-23,973,912,256.26,239.33,Completed
PO000034,PO000034-L2,S001,P0029,2023-03-05,2023-03-25,2023-03-23,886,806,2067.27,2105.97,Completed
PO000034,PO000034-L3,S001,P0080,2023-03-05,2023-03-25,2023-03-23,123,102,8622.76,8270.61,Completed
PO000034,PO000034-L4,S001,P0019,2023-03-05,2023-03-25,2023-03-23,1451,1279,1327.1,1332.38,Completed
PO000034,PO000034-L5,S001,P0108,2023-03-05,2023-03-25,2023-03-23,496,384,385.54,374.25,Completed
PO000034,PO000034-L6,S001,P0008,2023-03-05,2023-03-25,2023-03-23,692,606,1481.7,1540.65,Completed
PO000034,PO000034-L7,S001,P0138,2023-03-05,2023-03-25,2023-03-23,1369,1219,190.23,186.74,Completed
PO000035,PO000035-L1,S001,P0197,2023-03-06,2023-03-27,2023-03-26,912,763,180.0,182.77,Completed
PO000035,PO000035-L2,S001,P0014,2023-03-06,2023-03-27,2023-03-26,1362,1089,257.24,252.52,Completed
PO000035,PO000035-L3,S001,P0138,2023-03-06,2023-03-27,2023-03-26,568,437,189.29,192.21,Completed
PO000035,PO000035-L4,S001,P0108,2023-03-06,2023-03-27,2023-03-26,618,566,368.22,392.01,Completed
PO000036,PO000036-L1,S001,P0008,2023-03-07,2023-03-21,2023-05-03,972,841,1451.12,1445.64,Completed
PO000036,PO000036-L2,S001,P0029,2023-03-07,2023-03-21,2023-05-03,237,191,2028.32,2084.65,Completed
PO000037,PO000037-L1,S001,P0197,2023-03-10,2023-03-25,2023-03-25,961,855,173.82,181.45,Completed
PO000037,PO000037-L2,S001,P0029,2023-03-10,2023-03-25,2023-03-25,315,273,2059.38,2122.42,Completed
PO000037,PO000037-L3,S001,P0014,2023-03-10,2023-03-25,2023-03-25,538,525,264.92,270.36,Completed
PO000038,PO000038-L1,S001,P0108,2023-03-11,2023-03-28,2023-03-27,1141,978,385.32,394.51,Completed
PO000038,PO000038-L2,S001,P0080,2023-03-11,2023-03-28,2023-03-27,320,271,8812.73,9093.62,Completed
PO000038,PO000038-L3,S001,P0019,2023-03-11,2023-03-28,2023-03-27,1359,1129,1344.25,1300.24,Completed
PO000038,PO000038-L4,S001,P0138,2023-03-11,2023-03-28,2023-03-27,953,813,185.39,187.84,Completed
PO000039,PO000039-L1,S001,P0008,2023-03-12,2023-03-30,2023-04-09,1411,1192,1448.43,1456.31,Completed
PO000039,PO000039-L2,S001,P0019,2023-03-12,2023-03-30,2023-04-09,408,359,1345.77,1334.98,Completed
PO000040,PO000040-L1,S001,P0014,2023-03-13,2023-04-03,2023-04-02,379,302,262.87,252.96,Completed
PO000040,PO000040-L2,S001,P0138,2023-03-13,2023-04-03,2023-04-02,544,468,188.06,176.81,Completed
PO000040,PO000040-L3,S001,P0008,2023-03-13,2023-04-03,2023-04-02,286,251,1420.14,1462.41,Completed
PO000040,PO000040-L4,S001,P0080,2023-03-13,2023-04-03,2023-04-02,272,242,8599.6,7784.98,Completed
PO000041,PO000041-L1,S001,P0080,2023-03-15,2023-04-06,2023-04-04,755,587,8898.75,9546.47,Completed
PO000041,PO000041-L2,S001,P0138,2023-03-15,2023-04-06,2023-04-04,409,331,181.92,193.77,Completed
PO000041,PO000041-L3,S001,P0029,2023-03-15,2023-04-06,2023-04-04,805,706,2042.48,2043.15,Completed
PO000041,PO000041-L4,S001,P0008,2023-03-15,2023-04-06,2023-04-04,167,158,1474.23,1441.47,Completed
PO000041,PO000041-L5,S001,P0108,2023-03-15,2023-04-06,2023-04-04,1227,1041,368.74,377.22,Completed
PO000041,PO000041-L6,S001,P0197,2023-03-15,2023-04-06,2023-04-04,1392,1102,180.54,179.96,Completed
PO000042,PO000042-L1,S001,P0080,2023-03-16,2023-04-02,2023-04-06,1225,989,8753.75,8134.94,Completed
PO000042,PO000042-L2,S001,P0008,2023-03-16,2023-04-02,2023-04-06,498,441,1434.97,1351.84,Completed
PO000042,PO000042-L3,S001,P0019,2023-03-16,2023-04-02,2023-04-06,1179,981,1354.05,1440.25,Completed
PO000043,PO000043-L1,S001,P0008,2023-03-19,2023-04-03,2023-04-01,215,174,1475.85,1539.3,Completed
PO000043,PO000043-L2,S001,P0029,2023-03-19,2023-04-03,2023-04-01,1099,984,2066.48,2046.94,Completed
PO000043,PO000043-L3,S001,P0014,2023-03-19,2023-04-03,2023-04-01,427,348,255.81,246.88,Completed
PO000043,PO000043-L4,S001,P0019,2023-03-19,2023-04-03,2023-04-01,1469,1359,1361.22,1596.39,Completed
PO000043,PO000043-L5,S001,P0080,2023-03-19,2023-04-03,2023-04-01,1126,990,8920.79,9529.37,Completed
PO000043,PO000043-L6,S001,P0108,2023-03-19,2023-04-03,2023-04-01,895,863,381.51,369.7,Completed
PO000043,PO000043-L7,S001,P0197,2023-03-19,2023-04-03,2023-04-01,937,735,180.47,195.55,Completed
PO000044,PO000044-L1,S001,P0014,2023-03-21,2023-04-09,2023-04-08,567,492,258.68,244.68,Completed
PO000044,PO000044-L2,S001,P0008,2023-03-21,2023-04-09,2023-04-08,248,214,1458.14,1440.56,Completed
PO000044,PO000044-L3,S001,P0029,2023-03-21,2023-04-09,2023-04-08,1258,1111,2080.44,2104.24,Completed
PO000044,PO000044-L4,S001,P0197,2023-03-21,2023-04-09,2023-04-08,303,272,176.31,171.88,Completed
PO000045,PO000045-L1,S001,P0029,2023-03-23,2023-04-16,2023-04-18,313,251,2114.48,2242.35,Completed
PO000045,PO000045-L2,S001,P0019,2023-03-23,2023-04-16,2023-04-18,171,156,1379.91,1342.39,Completed
PO000045,PO000045-L3,S001,P0008,2023-03-23,2023-04-16,2023-04-18,303,232,1462.25,1446.79,Completed
PO000045,PO000045-L4,S001,P0138,2023-03-23,2023-04-16,2023-04-18,1057,892,187.07,195.32,Completed
PO000045,PO000045-L5,S001,P0197,2023-03-23,2023-04-16,2023-04-18,577,512,173.29,169.69,Completed
PO000045,PO000045-L6,S001,P0014,2023-03-23,2023-04-16,2023-04-18,259,220,258.21,264.59,Completed
PO000046,PO000046-L1,S001,P0014,2023-03-26,2023-04-09,2023-04-10,158,130,260.96,265.62,Completed
PO000046,PO000046-L2,S001,P0138,2023-03-26,2023-04-09,2023-04-10,1386,1288,182.47,175.7,Completed
PO000047,PO000047-L1,S001,P0029,2023-03-28,2023-04-15,2023-04-29,432,378,2064.46,2132.29,Completed
PO000048,PO000048-L1,S001,P0019,2023-03-30,2023-04-18,2023-04-16,1458,1474,1325.11,1384.56,Completed
PO000048,PO000048-L2,S001,P0014,2023-03-30,2023-04-18,2023-04-16,103,90,259.9,247.87,Completed
PO000048,PO000048-L3,S001,P0197,2023-03-30,2023-04-18,2023-04-16,787,801,180.62,179.95,Completed
PO000048,PO000048-L4,S001,P0108,2023-03-30,2023-04-18,,1018,798,383.93,378.56,Completed
PO000049,PO000049-L1,S001,P0014,2023-04-01,2023-04-17,2023-04-22,476,396,250.59,261.93,Completed
PO000049,PO000049-L2,S001,P0197,2023-04-01,2023-04-17,2023-04-22,655,563,174.17,169.34,Completed
PO000050,PO000050-L1,S001,P0029,2023-04-02,2023-04-22,2023-04-22,460,431,2041.67,1969.09,Completed
PO000050,PO000050-L2,S001,P0019,2023-04-02,2023-04-22,2023-04-22,357,317,1377.68,1429.85,Completed
PO000050,PO000050-L3,S001,P0014,2023-04-02,2023-04-22,2023-04-22,95,79,264.78,289.74,Completed
PO000050,PO000050-L4,S001,P0108,2023-04-02,2023-04-22,2023-04-22,1094,976,373.1,349.82,Completed
PO000050,PO000050-L5,S001,P0138,2023-04-02,2023-04-22,2023-04-22,463,382,186.73,184.93,Completed
PO000051,PO000051-L1,S001,P0008,2023-04-04,2023-04-21,2023-04-20,194,152,1439.11,1367.18,Completed
PO000051,PO000051-L2,S001,P0108,2023-04-04,2023-04-21,2023-04-20,945,942,370.65,398.33,Completed
PO000051,PO000051-L3,S001,P0197,2023-04-04,2023-04-21,2023-04-20,1270,1058,177.75,179.64,Completed
PO000051,PO000051-L4,S001,P0029,2023-04-04,2023-04-21,2023-04-20,1270,1171,2136.72,2198.81,Completed
PO000051,PO000051-L5,S001,P0138,2023-04-04,2023-04-21,2023-04-20,1443,1195,191.53,207.97,Completed
PO000051,PO000051-L6,S001,P0014,2023-04-04,2023-04-21,2023-04-20,1012,875,254.28,272.72,Completed
PO000051,PO000051-L7,S001,P0019,2023-04-04,2023-04-21,2023-04-20,554,435,1310.71,1378.17,Completed
PO000052,PO000052-L1,S001,P0080,2023-04-05,2023-04-25,2023-04-29,524,464,8600.29,8126.3,Completed
PO000052,PO000052-L2,S001,P0108,2023-04-05,2023-04-25,2023-04-29,1109,1007,378.68,352.18,Completed
PO000052,PO000052-L3,S001,P0197,2023-04-05,2023-04-25,2023-04-29,443,386,181.61,173.03,Completed
PO000052,PO000052-L4,S001,P0019,2023-04-05,2023-04-25,2023-04-29,641,569,1356.4,1581.79,Completed
PO000053,PO000053-L1,S001,P0197,2023-04-07,2023-04-23,2023-04-22,1018,882,176.13,206.37,Completed
PO000053,PO000053-L2,S001,P0029,2023-04-07,2023-04-23,2023-04-22,250,217,2103.12,2017.75,Completed
PO000053,PO000053-L3,S001,P0019,2023-04-07,2023-04-23,2023-04-22,1242,1068,1363.05,1315.24,Completed
PO000053,PO000053-L4,S001,P0080,2023-04-07,2023-04-23,2023-04-22,913,762,8808.88,8977.21,Completed
PO000053,PO000053-L5,S001,P0108,2023-04-07,2023-04-23,2023-04-22,106,92,385.5,367.22,Completed
PO000053,PO000053-L6,S001,P0014,2023-04-07,2023-04-23,2023-04-22,178,147,261.98,257.29,Completed
PO000054,PO000054-L1,S001,P0008,2023-04-09,2023-04-27,2023-04-28,200,167,1415.34,1444.31,Completed
PO000054,PO000054-L2,S001,P0197,2023-04-09,2023-04-27,2023-04-28,1485,1287,175.95,179.16,Completed
PO000054,PO000054-L3,S001,P0108,2023-04-09,2023-04-27,2023-04-28,78,64,371.35,393.74,Completed
PO000054,PO000054-L4,S001,P0080,2023-04-09,2023-04-27,2023-04-28,907,795,8836.03,8444.15,Completed
PO000054,PO000054-L5,S001,P0019,2023-04-09,2023-04-27,2023-04-28,987,915,1352.4,1316.73,Completed
PO000055,PO000055-L1,S001,P0029,2023-04-11,2023-04-26,2023-04-25,925,788,2142.55,2202.08,Completed
PO000055,PO000055-L2,S001,P0014,2023-04-11,2023-04-26,2023-04-25,612,556,256.75,245.81,Completed
PO000055,PO000055-L3,S001,P0080,2023-04-11,2023-04-26,2023-04-25,851,758,8550.88,8232.96,Completed
PO000055,PO000055-L4,S001,P0197,2023-04-11,2023-04-26,2023-04-25,799,639,173.89,167.3,Completed
PO000056,PO000056-L1,S001,P0008,2023-04-13,2023-04-30,2023-04-28,121,103,1496.77,1523.14,Completed
PO000056,PO000056-L2,S001,P0029,2023-04-13,2023-04-30,2023-04-28,1448,1166,2143.99,2155.1,Completed
PO000056,PO000056-L3,S001,P0019,2023-04-13,2023-04-30,2023-04-28,868,821,1328.08,1306.66,Completed
PO000057,PO000057-L1,S001,P0029,2023-04-14,2023-05-02,2023-04-30,905,848,2112.24,2215.67,Completed
PO000058,PO000058-L1,S001,P0008,2023-04-17,2023-05-05,2023-05-05,1116,1064,1472.12,1491.23,Completed
PO000058,PO000058-L2,S001,P0019,2023-04-17,2023-05-05,2023-05-05,374,357,1327.85,1294.77,Completed
PO000058,PO000058-L3,S001,P0138,2023-04-17,2023-05-05,2023-05-05,436,362,182.04,178.9,Completed
PO000058,PO000058-L4,S001,P0197,2023-04-17,2023-05-05,2023-05-05,767,736,173.4,185.01,Completed
PO000058,PO000058-L5,S001,P0080,2023-04-17,2023-05-05,2023-05-05,607,564,8791.6,9078.36,Completed
PO000059,PO000059-L1,S001,P0080,2023-04-18,2023-05-06,2023-05-05,1329,1090,9043.31,9581.6,Completed
PO000060,PO000060-L1,S001,P0080,2023-04-19,2023-05-10,2023-05-08,914,803,9014.66,9119.16,Completed
PO000060,PO000060-L2,S001,P0108,2023-04-19,2023-05-10,2023-05-08,827,763,371.09,375.92,Completed
PO000060,PO000060-L3,S001,P0019,2023-04-19,2023-05-10,2023-05-08,744,613,1306.93,1331.76,Completed
PO000060,PO000060-L4,S001,P0008,2023-04-19,2023-05-10,2023-05-08,290,233,1470.5,1487.23,Completed
PO000061,PO000061-L1,S001,P0197,2023-04-20,2023-05-10,2023-05-13,1200,893,173.83,195.13,Completed
PO000061,PO000061-L2,S001,P0080,2023-04-20,2023-05-10,2023-05-13,1242,1075,8690.15,8253.75,Completed
PO000061,PO000061-L3,S001,P0138,2023-04-20,2023-05-10,2023-05-13,673,652,184.09,183.76,Completed
PO000061,PO000061-L4,S001,P0014,2023-04-20,2023-05-10,2023-05-13,1303,1232,256.13,263.7,Completed
