Order_ID,Order_Line_ID,Customer_ID,Product_ID,Warehouse_ID,Order_Date,Ordered_Quantity,Fulfilled_Quantity,Order_Status
ORD0000012,ORD0000012-L1,C00001,P0189,W01,09-04-2024,6,5,Completed
ORD0000013,ORD0000013-L1,C00001,P0023,W12,11-04-2024,7,6,Completed
ORD0000013,ORD0000013-L2,C00001,P0058,W02,11-04-2024,5,4,Completed
ORD0000014,ORD0000014-L1,C00001,P0107,W06,21-05-2024,4,3,Completed
ORD0000015,ORD0000015-L1,C00001,P0068,W06,11-06-2024,5,4,Completed
ORD0000016,ORD0000016-L1,C00001,P0094,W11,12-06-2024,4,3,Completed
ORD0000016,ORD0000016-L2,C00001,P0093,W01,12-06-2024,1,0,Completed
ORD0000017,ORD0000017-L1,C00001,P0064,W01,29-06-2024,4,2,Completed
ORD0000017,ORD0000017-L2,C00001,P0059,W01,29-06-2024,6,5,Completed
ORD0000018,ORD0000018-L1,C00001,P0065,W01,03-07-2024,2,1,Completed
ORD0000019,ORD0000019-L1,C00001,P0183,W02,12-08-2024,2,1,Completed
ORD0000019,ORD0000019-L2,C00001,P0039,W12,12-08-2024,1,0,Completed
ORD0000020,ORD0000020-L1,C00001,P0101,W03,13-12-2024,7,6,Completed
ORD0000021,ORD0000021-L1,C00001,P0141,W12,19-12-2024,2,1,Completed
ORD0000021,ORD0000021-L2,C00001,P0076,W06,19-12-2024,1,0,Completed
ORD0000022,ORD0000022-L1,C00002,P0122,W10,25-01-2023,5,4,Completed
ORD0000023,ORD0000023-L1,C00002,P0052,W06,22-03-2023,2,1,Completed
ORD0000024,ORD0000024-L1,C00002,P0166,W06,09-05-2023,7,6,Completed
ORD0000025,ORD0000025-L1,C00002,P0169,W04,13-05-2023,5,2,Completed
ORD0000025,ORD0000025-L2,C00002,P0144,W09,13-05-2023,5,4,Completed
ORD0000026,ORD0000026-L1,C00002,P0066,W11,06-06-2023,4,3,Completed
ORD0000027,ORD0000027-L1,C00002,P0104,W04,15-06-2023,4,3,Completed
ORD0000028,ORD0000028-L1,C00002,P0029,W01,16-07-2023,1,0,Completed
ORD0000029,ORD0000029-L1,C00002,P0087,W07,22-08-2023,1,0,Completed
ORD0000030,ORD0000030-L1,C00002,P0049,W05,04-10-2023,6,2,Completed
ORD0000030,ORD0000030-L2,C00002,P0135,W12,04-10-2023,7,6,Completed
ORD0000031,ORD0000031-L1,C00002,P0039,W07,07-10-2023,4,0,Cancelled
ORD0000031,ORD0000031-L2,C00002,P0093,W13,07-10-2023,1,0,Cancelled
ORD0000032,ORD0000032-L1,C00002,P0126,W07,12-10-2023,1,0,Completed
ORD0000032,ORD0000032-L2,C00002,P0107,W04,12-10-2023,7,6,Completed
ORD0000033,ORD0000033-L1,C00002,P0109,W04,24-10-2023,5,4,Completed
ORD0000033,ORD0000033-L2,C00002,P0053,W12,24-10-2023,6,5,Completed
ORD0000034,ORD0000034-L1,C00002,P0126,W14,13-11-2023,3,2,Completed
ORD0000035,ORD0000035-L1,C00002,P0142,W03,08-12-2023,4,3,Completed
ORD0000035,ORD0000035-L2,C00002,P0036,W04,08-12-2023,6,4,Completed
ORD0000036,ORD0000036-L1,C00002,P0016,W07,22-12-2023,6,5,Completed
ORD0000036,ORD0000036-L2,C00002,P0087,W07,22-12-2023,5,4,Completed
ORD0000037,ORD0000037-L1,C00002,P0117,W13,05-02-2024,4,2,Completed
ORD0000038,ORD0000038-L1,C00002,P0123,W09,06-02-2024,1,0,Completed
ORD0000038,ORD0000038-L2,C00002,P0048,W09,06-02-2024,6,5,Completed
ORD0000039,ORD0000039-L1,C00002,P0187,W04,07-02-2024,5,4,Completed
ORD0000039,ORD0000039-L2,C00002,P0179,W04,07-02-2024,5,4,Completed
ORD0000040,ORD0000040-L1,C00002,P0004,W04,20-02-2024,3,2,Completed
ORD0000040,ORD0000040-L2,C00002,P0039,W13,20-02-2024,4,3,Completed
ORD0000040,ORD0000040-L3,C00002,P0195,W13,20-02-2024,4,3,Completed
ORD0000041,ORD0000041-L1,C00002,P0183,W02,16-03-2024,3,2,Completed
ORD0000042,ORD0000042-L1,C00002,P0168,W01,18-03-2024,3,2,Completed
ORD0000042,ORD0000042-L2,C00002,P0175,W07,18-03-2024,2,1,Completed
ORD0000042,ORD0000042-L3,C00002,P0005,W09,18-03-2024,1,0,Completed
ORD0000043,ORD0000043-L1,C00002,P0101,W02,07-06-2024,1,0,Completed
ORD0000043,ORD0000043-L2,C00002,P0109,W04,07-06-2024,1,0,Completed
ORD0000044,ORD0000044-L1,C00002,P0171,W07,17-07-2024,6,5,Completed
ORD0000044,ORD0000044-L2,C00002,P0100,W07,17-07-2024,3,2,Completed
ORD0000045,ORD0000045-L1,C00002,P0123,W06,30-07-2024,6,5,Completed
ORD0000045,ORD0000045-L2,C00002,P0135,W15,30-07-2024,2,1,Completed
ORD0000046,ORD0000046-L1,C00002,P0115,W04,08-08-2024,6,5,Completed
ORD0000046,ORD0000046-L2,C00002,P0048,W09,08-08-2024,1,0,Completed
ORD0000047,ORD0000047-L1,C00002,P0059,W03,11-09-2024,6,5,Completed
ORD0000048,ORD0000048-L1,C00002,P0129,W04,23-09-2024,5,4,Completed
ORD0000049,ORD0000049-L1,C00002,P0148,W09,09-10-2024,2,1,Completed
ORD0000049,ORD0000049-L2,C00002,P0181,W11,09-10-2024,7,5,Completed
ORD0000050,ORD0000050-L1,C00002,P0051,W11,14-10-2024,6,5,Completed
ORD0000051,ORD0000051-L1,C00003,P0146,W12,09-01-2023,3,2,Completed
ORD0000052,ORD0000052-L1,C00003,P0028,W02,15-04-2023,2,1,Completed
ORD0000053,ORD0000053-L1,C00003,P0192,W05,23-04-2023,4,3,Completed
ORD0000054,ORD0000054-L1,C00003,P0061,W12,11-05-2023,1,0,Completed
ORD0000055,ORD0000055-L1,C00003,P0152,W14,22-05-2023,3,2,Completed
ORD0000056,ORD0000056-L1,C00003,P0019,W01,12-06-2023,1,0,Completed
ORD0000056,ORD0000056-L2,C00003,P0117,W08,12-06-2023,,1,Completed
ORD0000057,ORD0000057-L1,C00003,P0131,W08,06-07-2023,1,0,Completed
ORD0000057,ORD0000057-L2,C00003,P0003,W14,06-07-2023,1,0,Completed
ORD0000057,ORD0000057-L3,C00003,P0115,W02,06-07-2023,4,3,Completed
ORD0000058,ORD0000058-L1,C00003,P0101,W08,08-07-2023,4,3,Completed
ORD0000059,ORD0000059-L1,C00003,P0177,W01,08-07-2023,1,0,Completed
ORD0000060,ORD0000060-L1,C00003,P0132,W07,15-07-2023,2,1,Completed
ORD0000060,ORD0000060-L2,C00003,P0158,W08,15-07-2023,1,0,Completed
ORD0000060,ORD0000060-L3,C00003,P0121,W14,15-07-2023,3,2,Completed
ORD0000061,ORD0000061-L1,C00003,P0177,W15,08-09-2023,2,1,Completed
ORD0000062,ORD0000062-L1,C00003,P0137,W14,12-09-2023,1,0,Completed
ORD0000062,ORD0000062-L2,C00003,P0015,W03,12-09-2023,1,0,Completed
ORD0000063,ORD0000063-L1,C00003,P0037,W06,12-09-2023,3,2,Completed
ORD0000064,ORD0000064-L1,C00003,P0127,W12,28-09-2023,3,2,Completed
ORD0000065,ORD0000065-L1,C00003,P0121,W03,02-10-2023,1,0,Completed
ORD0000065,ORD0000065-L2,C00003,P0048,W12,02-10-2023,2,1,Completed
ORD0000066,ORD0000066-L1,C00003,P0116,W09,20-10-2023,1,0,Completed
ORD0000066,ORD0000066-L2,C00003,P0093,W02,20-10-2023,4,3,Completed
ORD0000067,ORD0000067-L1,C00003,P0136,W03,01-11-2023,3,0,Cancelled
ORD0000068,ORD0000068-L1,C00003,P0037,W06,06-11-2023,4,1,Completed
ORD0000068,ORD0000068-L2,C00003,P0098,W06,06-11-2023,1,0,Completed
ORD0000069,ORD0000069-L1,C00003,P0121,W03,26-11-2023,4,3,Completed
ORD0000069,ORD0000069-L2,C00003,P0085,W15,26-11-2023,2,1,Completed
ORD0000070,ORD0000070-L1,C00003,P0038,W07,28-11-2023,1,0,Completed
ORD0000070,ORD0000070-L2,C00003,P0079,W13,28-11-2023,2,1,Completed
ORD0000071,ORD0000071-L1,C00003,P0051,W14,03-12-2023,3,0,Cancelled
ORD0000071,ORD0000071-L2,C00003,P0111,W05,03-12-2023,1,0,Cancelled
ORD0000071,ORD0000071-L3,C00003,P0095,W03,03-12-2023,1,0,Cancelled
ORD0000072,ORD0000072-L1,C00003,P0094,W07,06-12-2023,2,1,Completed
ORD0000073,ORD0000073-L1,C00003,P0095,W15,07-12-2023,1,0,Completed
ORD0000073,ORD0000073-L2,C00003,P0008,W01,07-12-2023,1,0,Completed
ORD0000074,ORD0000074-L1,C00003,P0008,W03,07-12-2023,2,1,Completed
ORD0000074,ORD0000074-L2,C00003,P0020,W05,07-12-2023,3,2,Completed
ORD0000075,ORD0000075-L1,C00003,P0037,W04,16-12-2023,2,1,Completed
ORD0000075,ORD0000075-L2,C00003,P0189,W11,16-12-2023,1,0,Completed
ORD0000075,ORD0000075-L3,C00003,P0028,W02,16-12-2023,3,2,Completed
ORD0000076,ORD0000076-L1,C00003,P0140,W03,17-01-2024,2,1,Completed
ORD0000077,ORD0000077-L1,C00003,P0074,W08,10-02-2024,4,3,Completed
ORD0000077,ORD0000077-L2,C00003,P0101,W10,10-02-2024,2,1,Completed
ORD0000078,ORD0000078-L1,C00003,P0003,W09,11-03-2024,4,3,Completed
ORD0000079,ORD0000079-L1,C00003,P0083,W05,22-03-2024,4,3,Completed
ORD0000080,ORD0000080-L1,C00003,P0111,W08,22-03-2024,1,0,Completed
ORD0000080,ORD0000080-L2,C00003,P0137,W08,22-03-2024,3,2,Completed
ORD0000081,ORD0000081-L1,C00003,P0015,W10,11-04-2024,2,1,Completed
ORD0000082,ORD0000082-L1,C00003,P0049,W05,30-04-2024,1,0,Completed
ORD0000082,ORD0000082-L2,C00003,P0010,W08,30-04-2024,1,0,Completed
ORD0000083,ORD0000083-L1,C00003,P0109,W11,14-05-2024,4,3,Completed
ORD0000083,ORD0000083-L2,C00003,P0106,W12,14-05-2024,4,3,Completed
ORD0000084,ORD0000084-L1,C00003,P0104,W04,17-05-2024,1,0,Completed
ORD0000084,ORD0000084-L2,C00003,P0048,W09,17-05-2024,2,1,Completed
ORD0000085,ORD0000085-L1,C00003,P0039,W14,12-06-2024,3,0,Cancelled
ORD0000086,ORD0000086-L1,C00003,P0079,W01,22-07-2024,4,3,Completed
ORD0000087,ORD0000087-L1,C00003,P0117,W08,20-08-2024,3,2,Completed
ORD0000087,ORD0000087-L2,C00003,P0124,W15,20-08-2024,1,0,Completed
ORD0000087,ORD0000087-L3,C00003,P0073,W14,20-08-2024,3,2,Completed
ORD0000088,ORD0000088-L1,C00003,P0142,W02,04-09-2024,4,0,Cancelled
ORD0000089,ORD0000089-L1,C00003,P0083,W12,14-09-2024,2,1,Completed
ORD0000090,ORD0000090-L1,C00003,P0016,W04,16-09-2024,2,0,Cancelled
ORD0000091,ORD0000091-L1,C00003,P0029,W12,19-10-2024,1,0,Completed
ORD0000092,ORD0000092-L1,C00003,P0158,W08,20-10-2024,1,0,Completed
ORD0000093,ORD0000093-L1,C00003,P0011,W09,11-11-2024,3,2,Completed
ORD0000093,ORD0000093-L2,C00003,P0056,W12,11-11-2024,3,2,Completed
ORD0000094,ORD0000094-L1,C00004,P0039,W07,01-01-2023,2,1,Completed
ORD0000095,ORD0000095-L1,C00004,P0200,W07,14-01-2023,4,3,Completed
ORD0000095,ORD0000095-L2,C00004,P0133,W07,14-01-2023,2,1,Completed
ORD0000095,ORD0000095-L3,C00004,P0085,W09,14-01-2023,1,0,Completed
ORD0000096,ORD0000096-L1,C00004,P0049,W11,14-03-2023,1,0,Completed
ORD0000096,ORD0000096-L2,C00004,P0004,W04,14-03-2023,2,1,Completed
ORD0000097,ORD0000097-L1,C00004,P0119,W07,22-03-2023,,1,Completed
ORD0000097,ORD0000097-L2,C00004,P0165,W01,22-03-2023,2,1,Completed
ORD0000098,ORD0000098-L1,C00004,P0086,W15,28-03-2023,3,2,Completed
ORD0000099,ORD0000099-L1,C00004,P0014,W04,05-04-2023,3,2,Completed
ORD0000099,ORD0000099-L2,C00004,P0135,W09,05-04-2023,3,2,Completed
ORD0000100,ORD0000100-L1,C00004,P0110,W11,30-04-2023,4,3,Completed
ORD0000101,ORD0000101-L1,C00004,P0131,W04,26-05-2023,1,0,Completed
ORD0000102,ORD0000102-L1,C00004,P0087,W07,08-06-2023,1,0,Completed
ORD0000102,ORD0000102-L2,C00004,P0137,W07,08-06-2023,3,2,Completed
ORD0000102,ORD0000102-L3,C00004,P0021,W07,08-06-2023,1,0,Completed
ORD0000103,ORD0000103-L1,C00004,P0083,W04,09-06-2023,2,1,Completed
ORD0000103,ORD0000103-L2,C00004,P0074,W08,09-06-2023,4,3,Completed
ORD0000104,ORD0000104-L1,C00004,P0089,W08,10-06-2023,1,0,Completed
ORD0000105,ORD0000105-L1,C00004,P0183,W07,30-06-2023,3,1,Completed
ORD0000106,ORD0000106-L1,C00004,P0135,W15,27-07-2023,4,3,Completed
ORD0000106,ORD0000106-L2,C00004,P0137,W07,27-07-2023,3,2,Completed
ORD0000107,ORD0000107-L1,C00004,P0195,W05,03-08-2023,2,1,Completed
ORD0000108,ORD0000108-L1,C00004,P0149,W08,08-08-2023,2,1,Completed
ORD0000108,ORD0000108-L2,C00004,P0115,W04,08-08-2023,4,3,Completed
ORD0000109,ORD0000109-L1,C00004,P0012,W11,07-09-2023,1,0,Completed
ORD0000109,ORD0000109-L2,C00004,P0090,W04,07-09-2023,4,3,Completed
ORD0000110,ORD0000110-L1,C00004,P0142,W14,16-09-2023,2,1,Completed
ORD0000110,ORD0000110-L2,C00004,P0181,W13,16-09-2023,1,0,Completed
ORD0000111,ORD0000111-L1,C00004,P0129,W09,20-09-2023,2,1,Completed
ORD0000112,ORD0000112-L1,C00004,P0023,W14,25-09-2023,2,1,Completed
ORD0000112,ORD0000112-L2,C00004,P0149,W02,25-09-2023,2,1,Completed
ORD0000113,ORD0000113-L1,C00004,P0158,W10,07-10-2023,2,1,Completed
ORD0000113,ORD0000113-L2,C00004,P0040,W06,07-10-2023,1,0,Completed
ORD0000114,ORD0000114-L1,C00004,P0054,W11,11-10-2023,1,0,Completed
ORD0000115,ORD0000115-L1,C00004,P0028,W04,17-10-2023,3,2,Completed
ORD0000116,ORD0000116-L1,C00004,P0044,W04,20-10-2023,1,0,Completed
ORD0000116,ORD0000116-L2,C00004,P0109,W04,20-10-2023,2,1,Completed
ORD0000116,ORD0000116-L3,C00004,P0027,W05,20-10-2023,3,1,Completed
ORD0000117,ORD0000117-L1,C00004,P0104,W04,24-10-2023,3,2,Completed
ORD0000117,ORD0000117-L2,C00004,P0088,W14,24-10-2023,3,2,Completed
ORD0000117,ORD0000117-L3,C00004,P0038,W04,24-10-2023,1,0,Completed
ORD0000118,ORD0000118-L1,C00004,P0024,W03,14-11-2023,3,1,Completed
ORD0000119,ORD0000119-L1,C00004,P0063,W06,22-11-2023,2,1,Completed
ORD0000119,ORD0000119-L2,C00004,P0195,W11,22-11-2023,1,0,Completed
ORD0000120,ORD0000120-L1,C00004,P0001,W02,24-12-2023,4,3,Completed
ORD0000120,ORD0000120-L2,C00004,P0104,W04,24-12-2023,4,3,Completed
ORD0000121,ORD0000121-L1,C00004,P0101,W08,24-12-2023,3,2,Completed
ORD0000122,ORD0000122-L1,C00004,P0008,W04,28-12-2023,2,1,Completed
ORD0000122,ORD0000122-L2,C00004,P0165,W06,28-12-2023,3,1,Completed
ORD0000123,ORD0000123-L1,C00004,P0101,W03,20-01-2024,4,3,Completed
ORD0000124,ORD0000124-L1,C00004,P0162,W01,31-01-2024,3,2,Completed
ORD0000125,ORD0000125-L1,C00004,P0113,W04,11-02-2024,2,1,Completed
ORD0000125,ORD0000125-L2,C00004,P0051,W13,11-02-2024,2,1,Completed
ORD0000126,ORD0000126-L1,C00004,P0165,W01,25-02-2024,2,0,Completed
ORD0000127,ORD0000127-L1,C00004,P0162,W01,27-04-2024,3,2,Completed
ORD0000127,ORD0000127-L2,C00004,P0029,W10,27-04-2024,2,1,Completed
ORD0000128,ORD0000128-L1,C00004,P0045,W12,17-05-2024,2,1,Completed
ORD0000129,ORD0000129-L1,C00004,P0006,W02,08-07-2024,1,0,Completed
ORD0000130,ORD0000130-L1,C00004,P0091,W07,04-08-2024,1,0,Completed
ORD0000131,ORD0000131-L1,C00004,P0016,W04,07-08-2024,4,2,Completed
ORD0000131,ORD0000131-L2,C00004,P0107,W04,07-08-2024,3,2,Completed
ORD0000132,ORD0000132-L1,C00004,P0045,W12,16-08-2024,2,1,Completed
ORD0000133,ORD0000133-L1,C00004,P0053,W01,17-08-2024,3,2,Completed
ORD0000133,ORD0000133-L2,C00004,P0036,W04,17-08-2024,1,0,Completed
ORD0000134,ORD0000134-L1,C00004,P0119,W07,17-08-2024,2,1,Completed
ORD0000135,ORD0000135-L1,C00004,P0079,W13,19-08-2024,3,2,Completed
ORD0000136,ORD0000136-L1,C00004,P0013,W03,13-09-2024,4,3,Completed
ORD0000137,ORD0000137-L1,C00004,P0051,W13,27-09-2024,3,2,Completed
ORD0000138,ORD0000138-L1,C00004,P0162,W01,26-11-2024,1,0,Completed
ORD0000139,ORD0000139-L1,C00005,P0134,W11,05-01-2023,3,2,Completed
ORD0000140,ORD0000140-L1,C00005,P0194,W11,04-05-2023,1,0,Completed
ORD0000140,ORD0000140-L2,C00005,P0129,W15,04-05-2023,2,1,Completed
ORD0000140,ORD0000140-L3,C00005,P0047,W11,04-05-2023,4,3,Completed
ORD0000141,ORD0000141-L1,C00005,P0084,W15,07-06-2023,6,5,Completed
ORD0000141,ORD0000141-L2,C00005,P0041,W15,07-06-2023,7,6,Completed
ORD0000141,ORD0000141-L3,C00005,P0032,W03,07-06-2023,3,2,Completed
ORD0000142,ORD0000142-L1,C00005,P0049,W11,15-07-2023,1,0,Completed
ORD0000142,ORD0000142-L2,C00005,P0165,W01,15-07-2023,5,2,Completed
ORD0000143,ORD0000143-L1,C00005,P0022,W01,06-08-2023,7,5,Completed
ORD0000144,ORD0000144-L1,C00005,P0047,W11,18-08-2023,6,5,Completed
ORD0000145,ORD0000145-L1,C00005,P0133,W04,28-08-2023,7,6,Completed
ORD0000145,ORD0000145-L2,C00005,P0191,W03,28-08-2023,2,1,Completed
ORD0000146,ORD0000146-L1,C00005,P0010,W09,22-09-2023,4,3,Completed
ORD0000146,ORD0000146-L2,C00005,P0070,W07,22-09-2023,1,0,Completed
ORD0000146,ORD0000146-L3,C00005,P0058,W02,22-09-2023,5,4,Completed
ORD0000147,ORD0000147-L1,C00005,P0035,W12,30-09-2023,2,1,Completed
ORD0000147,ORD0000147-L2,C00005,P0159,W05,30-09-2023,6,5,Completed
ORD0000148,ORD0000148-L1,C00005,P0016,W07,10-10-2023,7,6,Completed
ORD0000148,ORD0000148-L2,C00005,P0179,W11,10-10-2023,1,0,Completed
ORD0000149,ORD0000149-L1,C00005,P0036,W09,17-10-2023,5,2,Completed
ORD0000149,ORD0000149-L2,C00005,P0053,W03,17-10-2023,3,2,Completed
ORD0000150,ORD0000150-L1,C00005,P0079,W11,17-10-2023,3,2,Completed
ORD0000150,ORD0000150-L2,C00005,P0186,W05,17-10-2023,7,6,Completed
ORD0000150,ORD0000150-L3,C00005,P0036,W09,17-10-2023,5,3,Completed
ORD0000151,ORD0000151-L1,C00005,P0182,W05,21-11-2023,2,1,Completed
ORD0000151,ORD0000151-L2,C00005,P0080,W12,21-11-2023,2,1,Completed
ORD0000152,ORD0000152-L1,C00005,P0182,W07,07-01-2024,1,0,Completed
ORD0000153,ORD0000153-L1,C00005,P0038,W11,01-03-2024,7,6,Completed
ORD0000154,ORD0000154-L1,C00005,P0058,W04,30-04-2024,6,5,Completed
ORD0000155,ORD0000155-L1,C00005,P0129,W09,28-07-2024,1,0,Completed
ORD0000156,ORD0000156-L1,C00005,P0159,W11,06-10-2024,1,0,Completed
ORD0000157,ORD0000157-L1,C00005,P0005,W11,12-10-2024,1,0,Cancelled
ORD0000158,ORD0000158-L1,C00005,P0031,W06,15-10-2024,4,3,Completed
ORD0000158,ORD0000158-L2,C00005,P0079,W03,15-10-2024,6,5,Completed
ORD0000159,ORD0000159-L1,C00006,P0106,W09,18-01-2023,2,1,Completed
ORD0000159,ORD0000159-L2,C00006,P0135,W09,18-01-2023,3,2,Completed
ORD0000160,ORD0000160-L1,C00006,P0195,W14,21-01-2023,1,0,Completed
ORD0000161,ORD0000161-L1,C00006,P0117,W07,29-01-2023,1,0,Completed
ORD0000161,ORD0000161-L2,C00006,P0013,W10,29-01-2023,4,3,Completed
ORD0000162,ORD0000162-L1,C00006,P0021,W02,30-01-2023,4,3,Completed
ORD0000162,ORD0000162-L2,C00006,P0179,W04,30-01-2023,2,1,Completed
ORD0000162,ORD0000162-L3,C00006,P0078,W12,30-01-2023,4,3,Completed
ORD0000163,ORD0000163-L1,C00006,P0124,W04,09-02-2023,3,2,Completed
ORD0000164,ORD0000164-L1,C00006,P0075,W15,14-02-2023,3,2,Completed
ORD0000165,ORD0000165-L1,C00006,P0129,W15,16-02-2023,2,1,Completed
ORD0000165,ORD0000165-L2,C00006,P0062,W01,16-02-2023,3,2,Completed
ORD0000166,ORD0000166-L1,C00006,P0023,W02,22-02-2023,4,3,Completed
ORD0000167,ORD0000167-L1,C00006,P0004,W04,24-02-2023,3,2,Completed
ORD0000168,ORD0000168-L1,C00006,P0106,W06,06-03-2023,3,2,Completed
ORD0000168,ORD0000168-L2,C00006,P0095,W02,06-03-2023,4,3,Completed
ORD0000168,ORD0000168-L3,C00006,P0148,W02,06-03-2023,1,0,Completed
ORD0000169,ORD0000169-L1,C00006,P0057,W04,07-03-2023,3,2,Completed
ORD0000170,ORD0000170-L1,C00006,P0026,W15,14-03-2023,4,3,Completed
ORD0000171,ORD0000171-L1,C00006,P0158,W10,30-03-2023,1,0,Completed
ORD0000172,ORD0000172-L1,C00006,P0027,W06,20-04-2023,4,3,Completed
ORD0000173,ORD0000173-L1,C00006,P0142,W02,27-04-2023,3,2,Completed
ORD0000173,ORD0000173-L2,C00006,P0179,W09,27-04-2023,3,2,Completed
ORD0000174,ORD0000174-L1,C00006,P0073,W14,05-05-2023,1,0,Completed
ORD0000175,ORD0000175-L1,C00006,P0050,W07,12-06-2023,4,3,Completed
ORD0000175,ORD0000175-L2,C00006,P0128,W10,12-06-2023,1,0,Completed
ORD0000176,ORD0000176-L1,C00006,P0004,W01,17-06-2023,2,1,Completed
ORD0000177,ORD0000177-L1,C00006,P0133,W15,01-08-2023,3,2,Completed
ORD0000177,ORD0000177-L2,C00006,P0168,W15,01-08-2023,2,1,Completed
ORD0000178,ORD0000178-L1,C00006,P0157,W02,06-08-2023,4,3,Completed
ORD0000179,ORD0000179-L1,C00006,P0155,W01,03-09-2023,1,0,Completed
ORD0000179,ORD0000179-L2,C00006,P0178,W14,03-09-2023,3,2,Completed
ORD0000180,ORD0000180-L1,C00006,P0027,W01,08-09-2023,3,2,Completed
ORD0000180,ORD0000180-L2,C00006,P0198,W09,08-09-2023,4,2,Completed
ORD0000181,ORD0000181-L1,C00006,P0003,W02,15-09-2023,4,3,Completed
ORD0000182,ORD0000182-L1,C00006,P0051,W03,27-09-2023,1,0,Completed
ORD0000183,ORD0000183-L1,C00006,P0165,W01,15-10-2023,1,0,Completed
ORD0000183,ORD0000183-L2,C00006,P0120,W15,15-10-2023,2,1,Completed
ORD0000184,ORD0000184-L1,C00006,P0153,W10,16-10-2023,4,1,Completed
ORD0000184,ORD0000184-L2,C00006,P0132,W02,16-10-2023,3,1,Completed
ORD0000184,ORD0000184-L3,C00006,P0195,W13,16-10-2023,1,0,Completed
ORD0000185,ORD0000185-L1,C00006,P0078,W10,23-11-2023,3,2,Completed
ORD0000186,ORD0000186-L1,C00006,P0183,W07,14-12-2023,3,2,Completed
ORD0000187,ORD0000187-L1,C00006,P0076,W02,21-12-2023,2,1,Completed
ORD0000187,ORD0000187-L2,C00006,P0069,W11,21-12-2023,2,0,Completed
ORD0000187,ORD0000187-L3,C00006,P0192,W06,21-12-2023,1,0,Completed
ORD0000188,ORD0000188-L1,C00006,P0109,W01,12-01-2024,4,3,Completed
ORD0000188,ORD0000188-L2,C00006,P0192,W15,12-01-2024,2,1,Completed
ORD0000189,ORD0000189-L1,C00006,P0049,W11,15-01-2024,4,2,Completed
ORD0000190,ORD0000190-L1,C00006,P0135,W15,18-01-2024,3,2,Completed
ORD0000190,ORD0000190-L2,C00006,P0010,W15,18-01-2024,1,0,Completed
ORD0000191,ORD0000191-L1,C00006,P0074,W10,13-02-2024,3,2,Completed
ORD0000192,ORD0000192-L1,C00006,P0023,W14,22-02-2024,4,3,Completed
ORD0000193,ORD0000193-L1,C00006,P0049,W05,01-03-2024,3,2,Completed
ORD0000194,ORD0000194-L1,C00006,P0158,W12,10-03-2024,1,0,Completed
ORD0000195,ORD0000195-L1,C00006,P0024,W08,28-04-2024,3,2,Completed
ORD0000195,ORD0000195-L2,C00006,P0100,W10,28-04-2024,2,1,Completed
ORD0000196,ORD0000196-L1,C00006,P0145,W08,30-04-2024,2,1,Completed
ORD0000196,ORD0000196-L2,C00006,P0032,W04,30-04-2024,3,1,Completed
ORD0000196,ORD0000196-L3,C00006,P0095,W02,30-04-2024,3,1,Completed
ORD0000197,ORD0000197-L1,C00006,P0030,W13,01-05-2024,3,2,Completed
ORD0000197,ORD0000197-L2,C00006,P0144,W15,01-05-2024,4,3,Completed
ORD0000197,ORD0000197-L3,C00006,P0109,W04,01-05-2024,1,0,Completed
ORD0000198,ORD0000198-L1,C00006,P0073,W14,14-05-2024,1,0,Completed
