Delivery_ID,Order_ID,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delivery_Region,Delivery_Accuracy_Flag,Damage_Flag,Carrier_ID
DLV0000101,ORD0000107,06-08-2023,09-08-2023,09-08-2023,Delivered,West,Y,N,CAR08
DLV0000102,ORD0000108,09-08-2023,12-08-2023,11-08-2023,Delivered,West,Y,N,CAR15
DLV0000103,ORD0000109,08-09-2023,11-09-2023,10-09-2023,Delivered,West,Y,N,CAR05
DLV0000104,ORD0000110,16-09-2023,19-09-2023,18-09-2023,Delivered,West,Y,N,CAR04
DLV0000105,ORD0000111,22-09-2023,25-09-2023,29-09-2023,Delivered,West,Y,N,CAR07
DLV0000106,ORD0000112,25-09-2023,28-09-2023,27-09-2023,Delivered,West,Y,Y,CAR10
DLV0000107,ORD0000113,09-10-2023,12-10-2023,12-10-2023,Delivered,West,Y,N,CAR07
DLV0000108,ORD0000114,12-10-2023,15-10-2023,16-10-2023,Delivered,West,Y,N,CAR12
DLV0000109,ORD0000115,20-10-2023,23-10-2023,25-10-2023,Delivered,West,Y,N,CAR10
DLV0000110,ORD0000116,21-10-2023,24-10-2023,24-10-2023,Delivered,West,Y,Y,CAR01
DLV0000111,ORD0000117,25-10-2023,28-10-2023,27-10-2023,Delivered,West,Y,N,CAR03
DLV0000112,ORD0000118,16-11-2023,19-11-2023,19-11-2023,Delivered,West,Y,N,CAR14
DLV0000113,ORD0000119,25-11-2023,28-11-2023,02-12-2023,Delivered,West,Y,N,CAR01
DLV0000114,ORD0000120,24-12-2023,27-12-2023,27-12-2023,Delivered,West,Y,N,CAR08
DLV0000115,ORD0000121,26-12-2023,29-12-2023,27-12-2023,Delivered,West,Y,N,CAR08
DLV0000116,ORD0000122,30-12-2023,02-01-2024,01-01-2024,Delivered,West,Y,N,CAR05
DLV0000117,ORD0000123,24-01-2024,27-01-2024,07-02-2024,Delivered,West,Y,N,CAR10
DLV0000118,ORD0000124,01-02-2024,04-02-2024,04-02-2024,Delivered,West,Y,N,CAR02
DLV0000119,ORD0000125,14-02-2024,17-02-2024,25-02-2024,Delivered,West,Y,N,CAR06
DLV0000120,ORD0000126,27-02-2024,01-03-2024,01-03-2024,Delivered,West,Y,Y,CAR06
DLV0000121,ORD0000127,27-04-2024,30-04-2024,10-05-2024,Delivered,West,Y,N,CAR01
DLV0000122,ORD0000128,19-05-2024,22-05-2024,24-05-2024,Delivered,West,Y,N,CAR13
DLV0000123,ORD0000129,08-07-2024,11-07-2024,10-07-2024,Delivered,West,Y,N,CAR14
DLV0000124,ORD0000130,05-08-2024,08-08-2024,22-08-2024,Delivered,West,Y,N,CAR02
DLV0000125,ORD0000131,07-08-2024,10-08-2024,10-08-2024,Delivered,West,Y,N,CAR10
DLV0000126,ORD0000132,18-08-2024,21-08-2024,21-08-2024,Delivered,West,Y,N,CAR08
DLV0000127,ORD0000133,19-08-2024,22-08-2024,22-08-2024,Delivered,West,Y,N,CAR11
DLV0000128,ORD0000134,19-08-2024,22-08-2024,21-08-2024,Delivered,West,Y,N,CAR01
DLV0000129,ORD0000135,22-08-2024,25-08-2024,23-08-2024,Delivered,West,Y,N,CAR12
DLV0000130,ORD0000136,14-09-2024,17-09-2024,17-09-2024,Delivered,West,Y,N,CAR14
DLV0000131,ORD0000137,29-09-2024,02-10-2024,02-10-2024,Delivered,West,Y,N,CAR06
DLV0000132,ORD0000138,28-11-2024,01-12-2024,30-11-2024,Delivered,West,Y,N,CAR08
DLV0000133,ORD0000139,07-01-2023,12-01-2023,11-01-2023,Delivered,East,Y,N,CAR05
DLV0000134,ORD0000140,06-05-2023,11-05-2023,10-05-2023,Delivered,East,Y,N,CAR14
DLV0000135,ORD0000141,10-06-2023,15-06-2023,24-06-2023,Delivered,East,Y,N,CAR13
DLV0000136,ORD0000142,18-07-2023,23-07-2023,06-08-2023,Delivered,East,Y,N,CAR09
DLV0000137,ORD0000143,07-08-2023,12-08-2023,11-08-2023,Delivered,East,Y,N,CAR04
DLV0000138,ORD0000144,20-08-2023,25-08-2023,01-09-2023,Delivered,East,Y,N,CAR09
DLV0000139,ORD0000145,01-09-2023,06-09-2023,06-09-2023,Delivered,East,Y,N,CAR14
DLV0000140,ORD0000146,23-09-2023,28-09-2023,30-09-2023,Delivered,East,Y,N,CAR06
DLV0000141,ORD0000147,03-10-2023,08-10-2023,18-10-2023,Delivered,East,Y,N,CAR09
DLV0000142,ORD0000148,11-10-2023,16-10-2023,15-10-2023,Delivered,East,Y,N,CAR05
DLV0000143,ORD0000149,18-10-2023,23-10-2023,27-10-2023,Delivered,East,Y,N,CAR11
DLV0000144,ORD0000150,18-10-2023,23-10-2023,22-10-2023,Delivered,East,Y,N,CAR08
DLV0000145,ORD0000151,22-11-2023,27-11-2023,26-11-2023,Delivered,East,Y,N,CAR11
DLV0000146,ORD0000152,10-01-2024,15-01-2024,19-01-2024,Delivered,East,Y,N,CAR03
DLV0000147,ORD0000153,02-03-2024,07-03-2024,08-03-2024,Delivered,East,Y,N,CAR13
DLV0000148,ORD0000154,03-05-2024,08-05-2024,09-05-2024,Delivered,East,Y,N,CAR01
DLV0000149,ORD0000155,31-07-2024,05-08-2024,04-08-2024,Delivered,East,Y,N,CAR09
DLV0000150,ORD0000156,09-10-2024,14-10-2024,01-11-2024,Delivered,East,Y,N,CAR14
DLV0000151,ORD0000158,16-10-2024,21-10-2024,22-10-2024,Delivered,East,Y,N,CAR11
DLV0000152,ORD0000159,20-01-2023,24-01-2023,30-01-2023,Delivered,South,Y,N,CAR15
DLV0000153,ORD0000160,24-01-2023,28-01-2023,27-01-2023,Delivered,South,Y,N,CAR09
DLV0000154,ORD0000161,30-01-2023,03-02-2023,03-02-2023,Delivered,South,Y,N,CAR07
DLV0000155,ORD0000162,02-02-2023,06-02-2023,06-02-2023,Delivered,South,Y,N,CAR01
DLV0000156,ORD0000163,10-02-2023,14-02-2023,13-02-2023,Delivered,South,Y,N,CAR15
DLV0000157,ORD0000164,15-02-2023,19-02-2023,19-02-2023,Delivered,South,Y,N,CAR11
DLV0000158,ORD0000165,17-02-2023,21-02-2023,21-02-2023,Delivered,South,Y,N,CAR04
DLV0000159,ORD0000166,23-02-2023,27-02-2023,26-02-2023,Delivered,South,Y,N,CAR06
DLV0000160,ORD0000167,26-02-2023,02-03-2023,03-03-2023,Delivered,South,Y,N,CAR03
DLV0000161,ORD0000168,08-03-2023,12-03-2023,13-03-2023,Delivered,South,Y,N,CAR12
DLV0000162,ORD0000169,09-03-2023,13-03-2023,24-03-2023,Delivered,South,Y,N,CAR13
DLV0000163,ORD0000170,15-03-2023,19-03-2023,21-03-2023,Delivered,South,Y,N,CAR07
DLV0000164,ORD0000171,31-03-2023,04-04-2023,03-04-2023,Delivered,South,Y,N,CAR05
DLV0000165,ORD0000172,22-04-2023,26-04-2023,28-04-2023,Delivered,South,Y,N,CAR06
DLV0000166,ORD0000173,29-04-2023,03-05-2023,03-05-2023,Delivered,South,Y,N,CAR02
DLV0000167,ORD0000174,07-05-2023,11-05-2023,15-05-2023,Delivered,South,Y,N,CAR09
DLV0000168,ORD0000175,13-06-2023,17-06-2023,27-06-2023,Delivered,South,Y,N,CAR09
DLV0000169,ORD0000176,18-06-2023,22-06-2023,22-06-2023,Delivered,South,Y,N,CAR05
DLV0000170,ORD0000177,05-08-2023,09-08-2023,09-08-2023,Delivered,South,Y,N,CAR03
DLV0000171,ORD0000178,08-08-2023,12-08-2023,10-08-2023,Delivered,South,Y,N,CAR15
DLV0000172,ORD0000179,06-09-2023,10-09-2023,10-09-2023,Delivered,South,Y,N,CAR12
DLV0000173,ORD0000180,09-09-2023,13-09-2023,13-09-2023,Delivered,South,Y,N,CAR07
DLV0000174,ORD0000181,16-09-2023,20-09-2023,21-09-2023,Delivered,South,Y,N,CAR04
DLV0000175,ORD0000182,29-09-2023,03-10-2023,03-10-2023,Delivered,South,Y,N,CAR05
DLV0000176,ORD0000183,16-10-2023,,20-10-2023,Delivered,South,Y,N,CAR10
DLV0000177,ORD0000184,16-10-2023,20-10-2023,22-10-2023,Delivered,South,Y,N,CAR03
DLV0000178,ORD0000185,25-11-2023,,28-11-2023,Delivered,South,Y,N,CAR08
DLV0000179,ORD0000186,15-12-2023,19-12-2023,18-12-2023,Delivered,South,Y,N,CAR02
DLV0000180,ORD0000187,23-12-2023,27-12-2023,26-12-2023,Delivered,South,Y,N,CAR15
DLV0000181,ORD0000188,14-01-2024,18-01-2024,21-01-2024,Delivered,South,Y,N,CAR15
DLV0000182,ORD0000189,15-01-2024,19-01-2024,19-01-2024,Delivered,South,Y,N,CAR01
DLV0000183,ORD0000190,20-01-2024,24-01-2024,09-02-2024,Delivered,South,Y,N,CAR13
DLV0000184,ORD0000191,14-02-2024,18-02-2024,17-02-2024,Delivered,South,Y,N,CAR10
DLV0000185,ORD0000192,23-02-2024,27-02-2024,26-02-2024,Delivered,South,Y,N,CAR09
DLV0000186,ORD0000193,01-03-2024,05-03-2024,04-03-2024,Delivered,South,Y,N,CAR15
DLV0000187,ORD0000194,11-03-2024,15-03-2024,05-04-2024,Delivered,South,Y,N,CAR06
DLV0000188,ORD0000195,29-04-2024,03-05-2024,03-05-2024,Delivered,South,Y,N,CAR11
DLV0000189,ORD0000196,02-05-2024,06-05-2024,05-05-2024,Delivered,South,Y,N,CAR10
DLV0000190,ORD0000197,02-05-2024,06-05-2024,06-05-2024,Delivered,South,Y,N,CAR03
DLV0000191,ORD0000198,16-05-2024,20-05-2024,22-05-2024,Delivered,South,Y,N,CAR09
DLV0000192,ORD0000199,28-05-2024,01-06-2024,02-06-2024,Delivered,South,Y,N,CAR12
DLV0000193,ORD0000200,18-07-2024,22-07-2024,28-07-2024,Delivered,South,Y,N,CAR07
DLV0000194,ORD0000201,31-07-2024,04-08-2024,02-08-2024,Delivered,South,Y,N,CAR07
DLV0000195,ORD0000202,27-09-2024,01-10-2024,30-09-2024,Delivered,South,Y,N,CAR07
DLV0000196,ORD0000203,17-10-2024,21-10-2024,31-10-2024,Delivered,South,Y,N,CAR08
DLV0000197,ORD0000204,21-10-2024,25-10-2024,24-10-2024,Delivered,South,Y,N,CAR05
DLV0000198,ORD0000205,07-11-2024,11-11-2024,14-11-2024,Delivered,South,Y,N,CAR07
DLV0000199,ORD0000206,16-11-2024,20-11-2024,20-11-2024,Delivered,South,Y,N,CAR12
DLV0000200,ORD0000207,17-11-2024,21-11-2024,20-11-2024,Delivered,South,Y,N,CAR04
DLV0000201,ORD0000208,11-12-2024,15-12-2024,13-12-2024,Delivered,South,Y,N,CAR02
DLV0000202,ORD0000209,14-12-2024,18-12-2024,22-12-2024,Delivered,South,Y,N,CAR01
DLV0000203,ORD0000210,10-02-2023,13-02-2023,11-02-2023,Delivered,North,Y,N,CAR12
DLV0000204,ORD0000211,25-03-2023,28-03-2023,28-03-2023,Delivered,North,Y,N,CAR13
DLV0000205,ORD0000212,26-03-2023,29-03-2023,29-03-2023,Delivered,North,Y,N,CAR13
DLV0000206,ORD0000213,14-04-2023,17-04-2023,16-04-2023,Delivered,North,Y,N,CAR15
DLV0000207,ORD0000214,30-05-2023,02-06-2023,05-06-2023,Delivered,North,Y,N,CAR06
DLV0000208,ORD0000215,18-07-2023,21-07-2023,19-07-2023,Delivered,North,Y,N,CAR14
DLV0000209,ORD0000216,21-07-2023,24-07-2023,28-07-2023,Delivered,North,Y,N,CAR09
DLV0000210,ORD0000217,06-08-2023,09-08-2023,18-08-2023,Delivered,North,Y,N,CAR15
DLV0000211,ORD0000218,04-10-2023,07-10-2023,06-10-2023,Delivered,North,Y,N,CAR04
DLV0000212,ORD0000219,06-11-2023,09-11-2023,08-11-2023,Delivered,North,Y,N,CAR14
DLV0000213,ORD0000220,12-11-2023,15-11-2023,15-11-2023,Delivered,North,Y,N,CAR08
DLV0000214,ORD0000221,17-12-2023,20-12-2023,22-12-2023,Delivered,North,Y,N,CAR13
DLV0000215,ORD0000222,17-01-2024,20-01-2024,20-01-2024,Delivered,North,Y,N,CAR02
DLV0000216,ORD0000223,26-01-2024,29-01-2024,05-02-2024,Delivered,North,Y,N,CAR05
DLV0000217,ORD0000224,21-02-2024,24-02-2024,26-02-2024,Delivered,North,Y,N,CAR03
DLV0000218,ORD0000225,19-04-2024,22-04-2024,21-04-2024,Delivered,North,Y,N,CAR05
DLV0000219,ORD0000226,06-05-2024,09-05-2024,08-05-2024,Delivered,North,Y,N,CAR01
DLV0000220,ORD0000227,11-05-2024,14-05-2024,14-05-2024,Delivered,North,Y,N,CAR08
DLV0000221,ORD0000228,11-05-2024,14-05-2024,13-05-2024,Delivered,North,Y,N,CAR06
DLV0000222,ORD0000229,25-05-2024,28-05-2024,29-05-2024,Delivered,North,Y,N,CAR12
DLV0000223,ORD0000230,31-05-2024,03-06-2024,02-06-2024,Delivered,North,Y,N,CAR04
DLV0000224,ORD0000231,11-07-2024,14-07-2024,14-07-2024,Delivered,North,N,N,CAR07
DLV0000225,ORD0000232,30-07-2024,02-08-2024,02-08-2024,Delivered,North,Y,N,CAR04
DLV0000226,ORD0000233,21-08-2024,24-08-2024,23-08-2024,Delivered,North,Y,N,CAR01
DLV0000227,ORD0000234,25-10-2024,28-10-2024,04-11-2024,Delivered,North,Y,N,CAR02
DLV0000228,ORD0000235,26-11-2024,29-11-2024,29-11-2024,Delivered,North,Y,N,CAR05
DLV0000229,ORD0000236,27-01-2023,01-02-2023,03-02-2023,Delivered,East,Y,N,CAR02
DLV0000230,ORD0000237,01-02-2023,06-02-2023,05-02-2023,Delivered,East,Y,N,CAR09
DLV0000231,ORD0000238,27-02-2023,04-03-2023,09-03-2023,Delivered,East,Y,N,CAR03
DLV0000232,ORD0000239,21-03-2023,26-03-2023,25-03-2023,Delivered,East,Y,N,CAR02
DLV0000233,ORD0000240,24-03-2023,29-03-2023,31-03-2023,Delivered,East,Y,N,CAR08
DLV0000234,ORD0000241,31-03-2023,05-04-2023,03-04-2023,Delivered,East,Y,N,CAR07
DLV0000235,ORD0000242,07-05-2023,12-05-2023,11-05-2023,Delivered,East,Y,N,CAR15
DLV0000236,ORD0000243,18-05-2023,23-05-2023,25-05-2023,Delivered,East,Y,N,CAR08
DLV0000237,ORD0000244,16-06-2023,21-06-2023,22-06-2023,Delivered,East,Y,N,CAR08
DLV0000238,ORD0000245,21-06-2023,26-06-2023,26-06-2023,Delivered,East,Y,N,CAR05
DLV0000239,ORD0000246,26-06-2023,01-07-2023,08-07-2023,Delivered,East,Y,N,CAR02
DLV0000240,ORD0000247,16-07-2023,21-07-2023,20-07-2023,Delivered,East,Y,N,CAR05
DLV0000241,ORD0000248,19-07-2023,24-07-2023,24-07-2023,Delivered,East,Y,N,CAR01
DLV0000242,ORD0000249,06-08-2023,11-08-2023,11-08-2023,Delivered,East,Y,N,CAR06
DLV0000243,ORD0000250,10-08-2023,15-08-2023,15-08-2023,Delivered,East,Y,N,CAR04
DLV0000244,ORD0000251,26-09-2023,01-10-2023,29-09-2023,Delivered,East,Y,N,CAR05
DLV0000245,ORD0000252,06-11-2023,11-11-2023,10-11-2023,Delivered,East,Y,N,CAR06
DLV0000246,ORD0000253,27-12-2023,01-01-2024,13-01-2024,Delivered,East,Y,N,CAR06
DLV0000247,ORD0000254,30-12-2023,04-01-2024,07-01-2024,Delivered,East,Y,N,CAR11
DLV0000248,ORD0000255,09-01-2024,14-01-2024,14-01-2024,Delivered,East,Y,Y,CAR02
DLV0000249,ORD0000256,16-01-2024,21-01-2024,21-01-2024,Delivered,East,Y,N,CAR04
DLV0000250,ORD0000257,30-01-2024,04-02-2024,10-02-2024,Delivered,East,Y,N,CAR03
DLV0000251,ORD0000258,23-02-2024,28-02-2024,02-03-2024,Delivered,East,Y,N,CAR12
DLV0000252,ORD0000259,28-02-2024,04-03-2024,08-03-2024,Delivered,East,Y,N,CAR01
DLV0000253,ORD0000260,18-04-2024,23-04-2024,27-04-2024,Delivered,East,Y,N,CAR15
DLV0000254,ORD0000261,12-08-2024,17-08-2024,17-08-2024,Delivered,East,Y,N,CAR07
DLV0000255,ORD0000262,04-09-2024,09-09-2024,22-09-2024,Delivered,East,Y,N,CAR08
DLV0000256,ORD0000263,21-09-2024,26-09-2024,25-09-2024,Delivered,East,Y,N,CAR10
DLV0000257,ORD0000264,25-09-2024,30-09-2024,29-09-2024,Delivered,East,Y,N,CAR05
DLV0000258,ORD0000265,04-10-2024,09-10-2024,11-10-2024,Delivered,East,Y,N,CAR12
DLV0000259,ORD0000266,10-10-2024,15-10-2024,14-10-2024,Delivered,East,Y,N,CAR14
DLV0000260,ORD0000267,13-10-2024,18-10-2024,18-10-2024,Delivered,East,Y,N,CAR04
DLV0000261,ORD0000268,28-10-2024,02-11-2024,01-11-2024,Delivered,East,Y,N,CAR14
DLV0000262,ORD0000269,15-11-2024,20-11-2024,21-11-2024,Delivered,East,Y,N,CAR02
DLV0000263,ORD0000270,20-11-2024,25-11-2024,23-11-2024,Delivered,East,Y,N,CAR01
DLV0000264,ORD0000271,02-01-2023,07-01-2023,06-01-2023,Delivered,East,Y,N,CAR10
DLV0000265,ORD0000272,21-01-2023,26-01-2023,03-02-2023,Delivered,East,Y,N,CAR07
